time,instance,memory,max_memory,model_memory,pending_requests
2,centralus_B_3_0,0,358194767360,329000000000,0
2,centralus_B_3_1,0,358194767360,329000000000,0
2,centralus_B_3_2,0,358194767360,329000000000,0
2,centralus_B_4_0,0,358194767360,329000000000,0
2,centralus_B_4_1,0,358194767360,329000000000,0
2,centralus_B_4_2,0,358194767360,329000000000,0
2,centralus_B_5_0,0,358194767360,329000000000,0
2,centralus_B_5_1,0,358194767360,329000000000,0
2,centralus_B_5_2,0,358194767360,329000000000,0
2,centralus_B_6_0,0,358194767360,329000000000,0
2,centralus_B_6_1,0,358194767360,329000000000,0
2,centralus_C_0_0,0,636194767360,51000000000,0
2,centralus_C_0_1,0,636194767360,51000000000,0
2,centralus_C_0_2,0,636194767360,51000000000,0
2,centralus_C_1_0,0,636194767360,51000000000,0
2,centralus_C_1_1,0,636194767360,51000000000,0
2,centralus_C_1_2,0,636194767360,51000000000,0
2,centralus_C_2_0,0,636194767360,51000000000,0
2,centralus_C_2_1,0,636194767360,51000000000,0
2,centralus_C_2_2,0,636194767360,51000000000,0
2,centralus_C_3_0,0,636194767360,51000000000,0
2,centralus_C_3_1,0,636194767360,51000000000,0
2,centralus_C_3_2,0,636194767360,51000000000,0
2,centralus_C_4_0,0,636194767360,51000000000,0
2,centralus_C_4_1,0,636194767360,51000000000,0
2,centralus_C_4_2,0,636194767360,51000000000,0
2,centralus_C_5_0,0,636194767360,51000000000,0
2,centralus_C_5_1,0,636194767360,51000000000,0
2,centralus_C_5_2,0,636194767360,51000000000,0
2,centralus_C_6_0,0,636194767360,51000000000,0
2,centralus_C_6_1,0,636194767360,51000000000,0
2,centralus_D_0_0,680525824,667694767360,19500000000,1
2,centralus_D_0_1,0,667694767360,19500000000,0
2,centralus_D_0_2,0,667694767360,19500000000,0
2,centralus_D_1_0,0,667694767360,19500000000,0
2,centralus_D_1_1,0,667694767360,19500000000,0
2,centralus_D_1_2,0,667694767360,19500000000,0
2,centralus_D_2_0,0,667694767360,19500000000,0
2,centralus_D_2_1,0,667694767360,19500000000,0
2,centralus_D_2_2,0,667694767360,19500000000,0
2,centralus_D_3_0,0,667694767360,19500000000,0
2,centralus_D_3_1,0,667694767360,19500000000,0
2,centralus_D_3_2,0,667694767360,19500000000,0
2,centralus_D_4_0,0,667694767360,19500000000,0
2,centralus_D_4_1,0,667694767360,19500000000,0
2,centralus_D_4_2,0,667694767360,19500000000,0
2,centralus_D_5_0,0,667694767360,19500000000,0
2,centralus_D_5_1,0,667694767360,19500000000,0
2,centralus_D_6_0,0,667694767360,19500000000,0
2,centralus_D_6_1,0,667694767360,19500000000,0
2,eastus_A_0_0,0,552194767360,135000000000,0
2,eastus_A_0_1,0,552194767360,135000000000,0
2,eastus_A_0_2,0,552194767360,135000000000,0
2,eastus_A_1_0,0,552194767360,135000000000,0
2,eastus_A_1_1,0,552194767360,135000000000,0
2,eastus_A_1_2,0,552194767360,135000000000,0
2,eastus_A_2_0,0,552194767360,135000000000,0
2,eastus_A_2_1,0,552194767360,135000000000,0
2,eastus_A_2_2,0,552194767360,135000000000,0
2,eastus_A_3_0,0,552194767360,135000000000,0
2,eastus_A_3_1,0,552194767360,135000000000,0
2,eastus_A_3_2,0,552194767360,135000000000,0
2,eastus_A_4_0,0,552194767360,135000000000,0
2,eastus_A_4_1,0,552194767360,135000000000,0
2,eastus_A_4_2,0,552194767360,135000000000,0
2,eastus_A_5_0,0,552194767360,135000000000,0
2,eastus_A_5_1,0,552194767360,135000000000,0
2,eastus_A_5_2,0,552194767360,135000000000,0
2,eastus_A_6_0,0,552194767360,135000000000,0
2,eastus_A_6_1,0,552194767360,135000000000,0
2,eastus_B_0_0,0,358194767360,329000000000,0
2,eastus_B_0_1,0,358194767360,329000000000,0
2,eastus_B_0_2,0,358194767360,329000000000,0
2,eastus_B_1_0,0,358194767360,329000000000,0
2,eastus_B_1_1,0,358194767360,329000000000,0
2,eastus_B_1_2,0,358194767360,329000000000,0
2,eastus_B_2_0,0,358194767360,329000000000,0
2,eastus_B_2_1,0,358194767360,329000000000,0
2,eastus_B_2_2,0,358194767360,329000000000,0
2,eastus_B_3_0,0,358194767360,329000000000,0
2,eastus_B_3_1,0,358194767360,329000000000,0
2,eastus_B_3_2,0,358194767360,329000000000,0
2,eastus_B_4_0,0,358194767360,329000000000,0
2,eastus_B_4_1,0,358194767360,329000000000,0
2,eastus_B_4_2,0,358194767360,329000000000,0
2,eastus_B_5_0,0,358194767360,329000000000,0
2,eastus_B_5_1,0,358194767360,329000000000,0
2,eastus_B_5_2,0,358194767360,329000000000,0
2,eastus_B_6_0,0,358194767360,329000000000,0
2,eastus_B_6_1,0,358194767360,329000000000,0
2,eastus_C_0_0,0,636194767360,51000000000,0
2,eastus_C_0_1,0,636194767360,51000000000,0
2,eastus_C_0_2,0,636194767360,51000000000,0
2,eastus_C_1_0,0,636194767360,51000000000,0
2,eastus_C_1_1,0,636194767360,51000000000,0
2,eastus_C_1_2,0,636194767360,51000000000,0
